title,medlineTA,nlmID,indexingStatus,indexingTreatment,indexingDateYear,indexingDateMonth,indexingDateDay
Accounts of chemical research,Acc Chem Res,0157313,Currently-indexed,Selective,1999,11,01
ACS applied materials & interfaces,ACS Appl Mater Interfaces,101504991,Currently-indexed,Selective,2010,03,19
ACS nano,ACS Nano,101313589,Currently-indexed,Selective,2008,11,21
Acta chimica Slovenica,Acta Chim Slov,101247110,Currently-indexed,Selective,2013,03,06
"Acta crystallographica. Section A, Foundations and advances",Acta Crystallogr A Found Adv,101620182,Currently-indexed,Selective,2013,11,19
"Acta crystallographica Section B, Structural science, crystal engineering and materials",Acta Crystallogr B Struct Sci Cryst Eng Mater,101609037,Currently-indexed,Selective,2013,05,28
"Acta crystallographica. Section C, Structural chemistry",Acta Crystallogr C Struct Chem,101620313,Currently-indexed,Selective,2014,01,03
Advances in colloid and interface science,Adv Colloid Interface Sci,8706645,Currently-indexed,Selective,1988,08,03
"Advanced materials (Deerfield Beach, Fla.)",Adv Mater,9885358,Currently-indexed,Selective,2010,02,03
The American economic review,Am Econ Rev,14810500R,Currently-indexed,Selective,1996,04,12
The American University law review,Am Univ Law Rev,9891709,Currently-indexed,Selective,1997,07,18
Anais da Academia Brasileira de Ciências,An Acad Bras Cienc,7503280,Currently-indexed,Selective,1972,02,09
Analytical and bioanalytical chemistry,Anal Bioanal Chem,101134327,Currently-indexed,Selective,2001,12,31
Analytica chimica acta,Anal Chim Acta,0370534,Currently-indexed,Selective,2007,03,13
Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,Anal Sci,8511078,Currently-indexed,Selective,2002,01,01
Annals of science,Ann Sci,0372361,Currently-indexed,Selective,2002,01,01
"Annual review of analytical chemistry (Palo Alto, Calif.)",Annu Rev Anal Chem (Palo Alto Calif),101508602,Currently-indexed,Selective,2010,07,09
Annual review of physical chemistry,Annu Rev Phys Chem,15040080R,Currently-indexed,Selective,1989,06,26
Applied optics,Appl Opt,0247660,Currently-indexed,Selective,2002,02,07
"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",Appl Radiat Isot,9306253,Currently-indexed,Selective,1993,03,30
Applied spectroscopy,Appl Spectrosc,0372406,Currently-indexed,Selective,2003,10,23
"Argos (Utrecht, Netherlands)",Argos,9708906,Currently-indexed,Selective,2002,01,01
Berichte zur Wissenschaftsgeschichte,Ber Wiss,7909914,Currently-indexed,Selective,2002,01,01
British journal for the history of science,Br J Hist Sci,0144554,Currently-indexed,Selective,2002,01,01
Canadian bulletin of medical history = Bulletin canadien d'histoire de la médecine,Can Bull Med Hist,101130981,Currently-indexed,Selective,2003,06,03
