9806569,Journal of molecular modeling,735,1028,Molecular Biology
100888160,Physical chemistry chemical physics : PCCP,3145,12737,Chemistry;Biophysics;Physics
101204366,"Sensors (Basel, Switzerland)",3073,7232,Biotechnology;Technology
8307156,Carbohydrate polymers,3724,1249,Biochemistry
0401141,Physical review letters,832,11853,UNK
2984816R,Talanta,2558,1108,"Chemistry Techniques, Analytical"
9610838,"Chemical communications (Cambridge, England)",6238,9757,Chemistry
7903371,Scanning,158,154,Cell Biology
9602533,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",3542,1350,Molecular Biology
101176026,"Dalton transactions (Cambridge, England : 2003)",1761,7812,Chemistry
7708433,Optics letters,949,6887,Ophthalmology
0330500,The Science of the total environment,5683,3499,UNK
0410462,Nature,6337,1519,UNK
0366543,Inorganic chemistry,1395,6226,UNK
8511078,Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,409,402,"Chemistry Techniques, Analytical"
7503280,Anais da Academia Brasileira de Ciencias,791,104,Science
9433356,Ultrasonics sonochemistry,516,1113,Diagnostic Imaging
101526034,The journal of physical chemistry letters,441,4129,Chemistry
0374750,ISA transactions,82,1020,UNK
9800943,"Journal of the Optical Society of America. A, Optics, image science, and vision",278,1370,Ophthalmology
101620182,"Acta crystallographica. Section A, Foundations and advances",35,211,"Chemistry Techniques, Analytical"
0375370,Journal of forensic sciences,1210,235,UNK
101124451,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,556,338,Biology;Chemistry
101294643,"Chemistry, an Asian journal",708,1345,Chemistry
0247660,Applied optics,558,6288,UNK
9513783,"Chemistry (Weinheim an der Bergstrasse, Germany)",3245,7599,Chemistry
7902034,Forensic science international,1293,373,Jurisprudence;Forensic Sciences
0335405,Chemical Society reviews,649,972,UNK
101157530,The journal of physical chemistry. B,4153,2892,Chemistry
9890903,The journal of physical chemistry. A,1157,5015,Chemistry
101134327,Analytical and bioanalytical chemistry,2985,637,"Chemistry Techniques, Analytical"
101131163,TheScientificWorldJournal,5078,477,Medicine;Science;Technology
